,Obj ID,LS Best Per,LS Max Pow,ACF Best Per,ACF Max Pow,BLS Best Per,BLS Max Pow,Filename
29,TIC 149573659,0.0006943538386198833,0.24814327253645424,4.374571519627896,750.8730479195693,4.375001524067557,0.5878504747552145,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000149573659-0146-s_lc.fits
30,TIC 149629043,0.0006940072920770733,0.22135054215120117,1.0941301797009226,1621.9837474491844,1.0937490520575466,0.9096699191348365,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000149629043-0146-s_lc.fits
31,TIC 150357064,0.0006942805172053927,0.2911821241174172,1.4891245157731048,497.85104885704624,2.978448358895548,0.7584224392035226,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000150357064-0146-s_lc.fits
32,TIC 150361911,0.0006940532538375453,0.2199498819898458,1.2468789156340288,1161.9002414129775,1.2472118763243998,0.9171419867864997,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000150361911-0146-s_lc.fits
33,TIC 150429807,0.0006944962352592105,0.15300683525177647,9.04581095997611,274.7505524369298,0.43610601819000294,0.13217258917152835,/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000150429807-0144-s_lc.fits
34,TIC 150442264,0.0006947650368652621,0.6983847897939476,2.983841342118414,3766.259174308487,2.9833059292413964,0.8289224207365546,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000150442264-0146-s_lc.fits
35,TIC 154511165,0.4200564646856152,0.41911772389706164,0.8403490323604678,3722.2468891269755,0.8402634675621812,0.9282916795071193,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000154511165-0167-s_lc.fits
36,TIC 154570928,0.001387327499744171,0.15819672195208914,13.095180032313838,162.4507582135349,5.962557487241156,0.13484097223738595,/astro/store/epyc2/projects2/tess/sector020/tess2019357164649-s0020-0000000154570928-0165-s_lc.fits
37,TIC 155894704,0.6785178546431014,0.35298446277048834,1.3574320979078822,22840.838742590182,1.3576125815507112,0.8889173119175404,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000155894704-0167-s_lc.fits
38,TIC 157273321,2.7544257584065344,0.3665410806480007,5.521007552196225,17439.99473578662,5.519344939998518,0.792022270905897,/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000157273321-0174-s_lc.fits
39,TIC 157318662,0.0006943676498414033,0.03442817335973841,13.425268507514522,90.44898474548889,4.559670557628124,0.046722204105222626,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000157318662-0167-s_lc.fits
40,TIC 157999789,0.0006945314270861188,0.06757549703722002,13.371439203151638,189.07106029561825,0.6201256247823039,0.07447111207037616,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000157999789-0167-s_lc.fits
41,TIC 158272742,0.0013861654826529536,0.4388190814270458,1.4007078968662388,747.084331847877,1.4007143592220928,0.8576668533741836,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000158272742-0188-s_lc.fits
